,SegID
1184,35569
1185,101105
1186,68340
1187,101110
1188,35578
1189,101114
1190,133886
1191,166655
1192,68352
1193,9014018
1194,9014020
1195,264965
1196,68359
1197,68362
1198,68363
1199,166667
1200,35597
1201,166670
1202,35598
1203,133906
1204,35604
1205,68385
1206,166690
1207,35619
1208,166693
1209,35623
1210,35626
1211,101166
1212,35631
1213,35636
1214,35637
1215,133942
1216,35639
1217,35640
1218,101178
1219,35645
1220,133951
1221,35648
1222,35649
1223,35652
1224,232261
1225,35654
1226,35656
1227,35665
1228,101202
1229,232274
1230,35668
1231,35669
1232,265046
1233,35671
1234,35672
1235,133978
1236,35675
1237,35676
1238,2906
1239,68442
1240,35679
1241,133984
1242,35686
1243,68458
1244,166766
1245,134000
1246,2933
1247,166787
1248,68483
1249,68485
1250,68486
1251,35720
1252,68488
1253,68490
1254,68489
1255,134035
1256,35732
1257,35740
1258,35742
1259,35743
1260,35745
1261,35746
1262,35747
1263,35751
1264,2984
1265,166829
1266,101295
1267,68530
1268,35765
1269,134071
1270,35767
1271,68538
1272,35771
1273,101308
1274,232381
1275,68542
1276,68543
1277,101312
1278,35778
1279,134083
1280,9014212
1281,134085
1282,134086
1283,68548
1284,35784
1285,68552
1286,9014216
1287,3017
1288,166860
1289,134084
1290,166862
1291,35799
1292,35800
1293,134106
1294,166874
1295,35805
1296,35806
1297,35808
1298,232417
1299,35810
1300,35813
1301,3061
1302,166904
1303,35832
1304,166906
1305,35834
1306,35840
1307,68613
1308,35846
1309,35850
1310,35852
1311,68622
1312,35859
1313,35861
1314,9014293
1315,35863
1316,35864
1317,35865
1318,134170
1319,35868
1320,35869
1321,68640
1322,166946
1323,35875
1324,35876
1325,35879
1326,35880
1327,35882
1328,166955
1329,35883
1330,101422
1331,35887
1332,134193
1333,35889
1334,68661
1335,68662
1336,101433
1337,166969
1338,101436
1339,35903
1340,68673
1341,68679
1342,35914
1343,68682
1344,35916
1345,35915
1346,166991
1347,35923
1348,68692
1349,35925
1350,68694
1351,68695
1352,167000
1353,68693
1354,35929
1355,167003
1356,167004
1357,35933
1358,35934
1359,35928
1360,167011
1361,167013
1362,35942
1363,35944
1364,35945
1365,35948
1366,35951
1367,35952
1368,35955
1369,9014388
1370,9014390
1371,35960
1372,9014394
1373,68731
1374,35964
1375,68739
1376,35973
1377,167049
1378,167052
1379,3213
1380,9014414
1381,167055
1382,68750
1383,167057
1384,9014418
1385,68749
1386,167060
1387,167061
1388,9014420
1389,35993
1390,167065
1391,35996
1392,167070
1393,134303
1394,3232
1395,9014434
1396,167075
1397,232613
1398,36009
1399,36011
1400,36012
1401,134317
1402,134318
1403,232619
1404,68781
1405,36017
1406,68785
1407,265393
1408,36016
1409,36021
1410,36022
1411,36024
1412,36026
1413,68795
1414,134332
1415,167100
1416,36027
1417,68799
1418,68803
1419,36036
1420,68805
1421,36038
1422,36035
1423,167112
1424,36041
1425,134351
1426,134353
1427,134363
1428,134365
1429,134370
1430,134372
1431,101614
1432,68846
1433,9014514
1434,167156
1435,101621
1436,167159
1437,167160
1438,68855
1439,167162
1440,232696
1441,167165
1442,167168
1443,101634
1444,36101
1445,9014538
1446,9014542
1447,36112
1448,9014546
1449,36116
1450,36118
1451,36120
1452,36125
1453,36126
1454,36127
1455,36129
1456,167204
1457,101668
1458,167209
1459,9014571
1460,36140
1461,167213
1462,36142
1463,36143
1464,36144
1465,36145
1466,36139
1467,9014579
1468,9014581
1469,9014583
1470,36152
1471,9014587
1472,134461
1473,68927
1474,36160
1475,36162
1476,68931
1477,36164
1478,167235
1479,36169
1480,167242
1481,167245
1482,265550
1483,134477
1484,167248
1485,167249
1486,167250
1487,9014611
1488,36179
1489,167253
1490,9014615
1491,36183
1492,167257
1493,167263
1494,68960
1495,68962
1496,36195
1497,167268
1498,36198
1499,167277
1500,68976
1501,167282
1502,134517
1503,134518
1504,68985
1505,134526
1506,3455
1507,3454
1508,36228
1509,3463
1510,36237
1511,36238
1512,36239
1513,167313
1514,36246
1515,134552
1516,36248
1517,36250
1518,134555
1519,167324
1520,167325
1521,69020
1522,36255
1523,36256
1524,69025
1525,36258
1526,167331
1527,36260
1528,36261
1529,36262
1530,36263
1531,36264
1532,36265
1533,69030
1534,36259
1535,167345
1536,36274
1537,36273
1538,36275
1539,36277
1540,69045
1541,36278
1542,134579
1543,265658
1544,36282
1545,36285
1546,69054
1547,167359
1548,36287
1549,69057
1550,167362
1551,69066
1552,134604
1553,69068
1554,69070
1555,69072
1556,101845
1557,69084
1558,101855
1559,69088
1560,101858
1561,9014764
1562,101869
1563,134641
1564,134642
1565,167414
1566,36342
1567,36345
1568,3579
1569,134653
1570,134660
1571,36358
1572,36360
1573,36362
1574,36364
1575,36365
1576,36366
1577,36368
1578,36373
1579,134678
1580,36375
1581,36374
1582,69147
1583,167454
1584,167458
1585,69154
1586,36388
1587,36391
1588,101928
1589,36392
1590,36394
1591,36395
1592,3628
1593,101933
1594,167470
1595,101935
1596,101934
1597,167471
1598,167474
1599,36403
1600,167475
1601,36401
1602,36406
1603,69171
1604,167481
1605,101946
1606,101947
1607,36412
1608,36409
1609,36414
1610,167487
1611,69185
1612,167490
1613,167491
1614,36419
1615,167493
1616,167494
1617,69187
1618,36418
1619,167497
1620,69193
1621,167499
1622,69196
1623,167501
1624,69198
1625,36431
1626,167504
1627,167506
1628,167508
1629,36440
1630,36441
1631,167512
1632,167517
1633,167518
1634,69224
1635,167530
1636,36459
1637,69228
1638,69229
1639,167537
1640,69234
1641,69242
1642,102019
1643,102023
1644,3720
1645,102024
1646,69261
1647,134798
1648,265870
1649,102032
1650,36499
1651,102036
1652,167582
1653,36517
1654,265893
1655,69288
1656,265896
1657,69290
1658,167595
1659,167594
1660,265898
1661,265899
1662,265902
1663,163572
1664,36542
1665,265921
1666,265923
1667,167620
1668,134854
1669,69318
1670,36551
1671,36561
1672,102098
1673,167635
1674,167637
1675,36568
1676,36569
1677,265948
1678,3805
1679,134878
1680,36574
1681,36578
1682,36579
1683,265958
1684,36582
1685,36584
1686,36587
1687,36588
1688,36594
1689,36595
1690,102135
1691,167677
1692,167680
1693,167682
1694,167683
1695,167686
1696,69384
1697,167689
1698,167691
1699,167694
1700,134945
1701,134961
1702,36665
1703,36671
1704,36674
1705,36678
1706,69450
1707,36683
1708,266064
1709,36688
1710,134995
1711,134996
1712,36693
1713,134997
1714,134999
1715,135000
1716,134998
1717,266071
1718,36702
1719,167775
1720,36705
1721,36727
1722,36738
1723,36739
1724,135046
1725,135047
1726,69519
1727,167832
1728,266136
1729,167843
1730,167847
1731,36788
1732,167874
1733,36803
1734,69574
1735,36807
1736,36809
1737,36810
1738,36812
1739,36814
1740,36817
1741,167890
1742,69588
1743,135125
1744,135127
1745,36824
1746,167899
1747,36834
1748,167908
1749,36837
1750,69609
1751,167915
1752,36843
1753,135152
1754,69618
1755,36852
1756,102394
1757,233467
1758,69628
1759,4096
1760,233473
1761,69639
1762,36871
1763,167945
1764,69643
1765,135202
1766,102441
1767,167982
1768,233518
1769,135217
1770,167995
1771,135231
1772,135232
1773,69696
1774,69698
1775,36931
1776,135240
1777,135241
1778,4172
1779,168012
1780,4175
1781,4176
1782,4180
1783,102486
1784,168028
1785,4188
1786,266335
1787,168036
1788,36969
1789,168043
1790,36972
1791,168052
1792,168055
1793,135288
1794,4223
1795,102531
1796,102532
1797,266374
1798,69766
1799,135305
1800,4237
1801,102541
1802,69779
1803,37011
1804,69780
1805,266389
1806,102556
1807,168106
1808,168113
1809,168117
1810,102582
1811,168120
1812,168123
1813,102589
1814,168126
1815,4287
1816,102595
1817,135364
